"","logFC","logCPM","F","PValue","symbol"
"ENSG00000000003",0.447909580643393,7.05146264873905,2.65514343638521,0.10394340604398,"TSPAN6"
"ENSG00000000005",-0.699199807947318,-2.32754875822432,1.26485517532222,0.261357745597654,"TNMD"
"ENSG00000000419",0.427557489931225,5.56427925053477,9.96241867764582,0.00170936563618232,"DPM1"
"ENSG00000000457",0.332825212903173,3.90915649970121,4.87115213588832,0.0278336964074727,"SCYL3"
"ENSG00000000460",1.63798116683201,3.68928084352252,36.1954420643661,3.80559212157873e-09,"C1orf112"
"ENSG00000000938",-0.272654223944015,3.48644514219938,1.08111405570793,0.299029284118304,"FGR"
"ENSG00000000971",-1.18118038272345,6.38380116340394,14.8692077655063,0.000132737111090564,"CFH"
"ENSG00000001036",0.710795540607261,5.90566683088537,22.0364042352229,3.59644282045428e-06,"FUCA2"
"ENSG00000001084",-0.210745319053781,6.57956139112335,0.460186444892387,0.49789958314438,"GCLC"
"ENSG00000001167",0.297602390962985,5.21150591917137,4.20349988505869,0.0409428485966919,"NFYA"
"ENSG00000001460",0.530525224943151,4.36746548853191,5.3085287057524,0.0216943882820869,"STPG1"
"ENSG00000001461",0.0769408661323118,5.23075756002047,0.224249591946482,0.636059744626418,"NIPAL3"
"ENSG00000001497",0.455410660972456,5.96595606636272,12.2488481834054,0.000513852929465855,"LAS1L"
"ENSG00000001561",-0.701427060170833,3.93573646710229,6.55216104820636,0.0108146030767348,"ENPP4"
"ENSG00000001617",0.668631566675346,7.5517614605599,5.57302766184162,0.0186819691978238,"SEMA3F"
"ENSG00000001626",1.78096131035882,1.1268304000454,4.03171350339327,0.0452738684720239,"CFTR"
"ENSG00000001629",0.315322162659125,5.92801501913143,5.81846166702714,0.0162741578721243,"ANKIB1"
"ENSG00000001630",0.167605278893899,0.873222747907736,0.265270847496467,0.606785000250758,"CYP51A1"
"ENSG00000001631",0.322881986211781,2.82207633297448,7.82189436466567,0.00539189342945233,"KRIT1"
"ENSG00000002016",0.372717927583715,3.29834310437525,4.76335866218569,0.029608928656876,"RAD52"
"ENSG00000002079",4.01567582046183,0.45543306077282,23.4964337281672,1.74768846493616e-06,NA
"ENSG00000002330",0.601714949270111,3.85892676123977,12.6038251336632,0.000427183139601939,"BAD"
"ENSG00000002549",0.315444178042952,6.74816001847064,1.49557744890416,0.22201894047613,"LAP3"
"ENSG00000002586",-0.0821931154445066,7.90599132419539,0.119224242028276,0.730045229969893,"CD99"
"ENSG00000002587",-1.63697854937311,5.27713371166947,32.5817271827821,2.12490092517826e-08,"HS3ST1"
"ENSG00000002726",1.85438753835406,3.38710512150497,5.31712337952166,0.0215889648668276,"AOC1"
"ENSG00000002745",1.72934788216566,-0.15676431257635,6.73311314262631,0.00978546165328674,"WNT16"
"ENSG00000002746",1.18809549515652,1.09647362971838,5.57382112046057,0.0186736166488346,"HECW1"
"ENSG00000002822",0.276825831866558,-0.664068557729076,0.666610364817496,0.414685284958107,"MAD1L1"
"ENSG00000002834",0.803027479882518,8.04965294913227,21.3768477798657,4.98923057459347e-06,"LASP1"
"ENSG00000002919",0.293932834729546,4.91950744542352,6.36485257989174,0.0119978282340967,"SNX11"
"ENSG00000002933",-0.301004563317026,5.11324079512184,0.637881575081045,0.424917233108557,"TMEM176A"
"ENSG00000003056",0.228251924090404,6.01735618313918,1.49279885330888,0.222448114440836,"M6PR"
"ENSG00000003096",-2.16619832339394,2.50626470992794,41.3748672844085,3.33378009617021e-10,"KLHL13"
"ENSG00000003137",0.91491668784701,3.24919779845282,2.31033059179699,0.129247285937069,"CYP26B1"
"ENSG00000003147",0.259861454955825,5.28378973915345,0.731540712520467,0.39285771967255,"ICA1"
"ENSG00000003249",1.64330310730967,4.72761768725404,18.7639922358823,1.84082217524801e-05,"DBNDD1"
"ENSG00000003393",0.049307619044244,4.49377414893937,0.15228259289188,0.696555592753992,"ALS2"
"ENSG00000003400",0.162207700593819,4.43138586714227,0.493532160357127,0.482733771038073,"CASP10"
"ENSG00000003402",-0.345114082399198,6.35253726536956,6.08351132034147,0.0140316328208417,"CFLAR"
"ENSG00000003436",-0.678324935051752,5.22255204383335,4.35538356768187,0.0374770340702923,"TFPI"
"ENSG00000003509",0.288750765756566,3.84751249338726,9.37635175974017,0.00233513400388645,"NDUFAF7"
"ENSG00000003756",-0.0286105111247617,5.98885503383599,0.038602061800166,0.844331394679676,"RBM5"
"ENSG00000003987",-0.337503654411171,0.476745747919095,2.50890941173391,0.113935036546089,"MTMR7"
"ENSG00000003989",-0.48297730648457,4.45572714017281,1.51905613425559,0.218431839633618,"SLC7A2"
"ENSG00000004059",0.557488801049783,6.93446696092598,17.4740481055669,3.52647698703e-05,"ARF5"
"ENSG00000004139",-0.38337359987593,2.3487306933678,2.43334489029514,0.11951049073529,"SARM1"
"ENSG00000004142",0.48064109082663,7.17998331577139,15.4348601208583,9.93825549129045e-05,"POLDIP2"
"ENSG00000004399",0.0340201716433091,6.54338182400022,0.0171598514801708,0.895839675321633,"PLXND1"
"ENSG00000004455",0.47880648841466,7.06826927381509,23.1911189788687,2.03170131007351e-06,"AK2"
"ENSG00000004468",0.814473011022584,3.01779773118064,2.26349856870152,0.133184301977019,"CD38"
"ENSG00000004478",0.619984469982251,7.44025144183719,12.2423471714413,0.000515596475285552,"FKBP4"
"ENSG00000004487",0.863162509239337,7.42214050621658,28.5246294429158,1.49812652626774e-07,"KDM1A"
"ENSG00000004534",0.154431170392352,6.59508148478109,0.877827882779097,0.349320086948628,"RBM6"
"ENSG00000004660",-1.02600641017916,3.6347652339504,28.2548120581128,1.70742793748784e-07,"CAMKK1"
"ENSG00000004700",0.0684496689487396,4.25050356894895,0.094705201373565,0.758426699039668,"RECQL"
"ENSG00000004766",0.103905156366718,4.49619003657974,0.770003071604933,0.380703197336717,"VPS50"
"ENSG00000004776",-4.39299060305283,3.3679744295005,127.549068084335,4.25882174827273e-26,"HSPB6"
"ENSG00000004777",0.867305478827278,3.6920886553161,10.1370780554756,0.00155813517812073,"ARHGAP33"
"ENSG00000004779",0.277582822034228,5.91268139223171,3.57530854383036,0.059312552713152,"NDUFAB1"
"ENSG00000004799",-3.59742382532638,5.37535014650417,146.021978122978,3.626460397503e-29,"PDK4"
"ENSG00000004809",1.06335262921867,-2.4308917687686,3.42999720963036,0.0647033460658101,"SLC22A16"
"ENSG00000004838",0.453250725938374,0.484262033805445,0.99809157021556,0.31833125758379,"ZMYND10"
"ENSG00000004846",-3.64134851679232,-1.91788674517381,80.2890361272774,9.74198634116986e-18,"ABCB5"
"ENSG00000004848",4.65217683957309,-1.28949929644056,20.1767164730955,9.07152522088528e-06,"ARX"
"ENSG00000004864",0.737013714516207,5.21308058186758,24.4221108782106,1.1082554948263e-06,"SLC25A13"
"ENSG00000004866",0.155968117101763,4.46102863192012,1.9737458612349,0.160768517546526,"ST7"
"ENSG00000004897",0.237253803348879,6.02475398181961,3.34732531248995,0.0680024362184849,"CDC27"
"ENSG00000004939",-0.0760879701974408,-2.98351406446158,0.0215884633410639,0.883255622729852,"SLC4A1"
"ENSG00000004948",1.49987044048962,-2.16843057632775,6.98977979231804,0.00849558382509554,"CALCR"
"ENSG00000004961",0.0268521836433578,4.75568683219153,0.0423607327166507,0.837030507810095,"HCCS"
"ENSG00000004975",0.145157368915294,5.32206500356856,1.13418349113649,0.287478840103034,"DVL2"
"ENSG00000005001",0.653728280132651,5.707321862745,2.81092829172581,0.0943466753839408,"PRSS22"
"ENSG00000005007",0.297269214090841,7.35877584076295,11.2862799931723,0.000850016115855941,"UPF1"
"ENSG00000005020",-0.514085814787244,5.6996452591299,11.8206899102582,0.000642501562667696,"SKAP2"
"ENSG00000005022",0.226343532329081,8.20688649344015,1.83303495519837,0.176476411507837,"SLC25A5"
"ENSG00000005059",0.699494954506036,4.44247338314957,5.75221025278725,0.0168905968186942,"MCUB"
"ENSG00000005073",-0.473402138024806,2.980666387874,2.29263549983658,0.130719338356449,"HOXA11"
"ENSG00000005075",0.804867020577107,5.75728783821229,21.4355960190299,4.84569349164988e-06,"POLR2J"
"ENSG00000005100",0.544013983610903,4.84713101125118,13.5645447739397,0.000259690811249908,"DHX33"
"ENSG00000005102",-2.31332035414121,1.61733473486297,45.7022616936214,4.47142396940897e-11,"MEOX1"
"ENSG00000005108",-0.935547981996536,2.49833750756557,6.04732278067239,0.0143179480091357,"THSD7A"
"ENSG00000005156",0.253802252950337,5.26745237726205,2.72321646259735,0.0996244062401732,"LIG3"
"ENSG00000005175",0.296575879888815,5.17452381881211,5.72631770580552,0.0171380413209662,"RPAP3"
